name,url,source,event_id,relevance_score,reasoning,priority
International Sign Association (ISA),https://www.signs.org/,manual,3a98c1bebf857200f21682d572b9d139,9,"The International Sign Association (ISA) is a highly relevant event for DuPont Tedlar as it directly relates to their product offering - protective films used in signage. This event will likely attract businesses and industry partners interested in signage materials and solutions, making it an excellent opportunity for B2B marketing and lead generation.",High
Specialty Graphic Imaging Association (SGIA),https://sgia.com/,manual,df32abd67c0b88cb5f0fba676e27c114,9,The Specialty Graphic Imaging Association (SGIA) event is highly relevant for DuPont Tedlar as it directly relates to their product offerings in signage and architectural graphics. It is a great platform to identify potential B2B customers and industry partners who are interested in the latest trends and technologies in the specialty graphics industry.,High
PRINTING United Alliance,https://pru25.mapyourshow.com/8_0/explore/exhibitor-gallery.cfm?featured=false,manual,820006d029179cd72044c1691609d367,9,"The PRINTING United Alliance event is highly relevant for DuPont Tedlar as it is a gathering of professionals in the printing industry, which directly relates to their business of providing protective films for signage and graphics. This event can be a great opportunity to identify potential B2B customers and industry partners.",High
Graphic Arts Association,https://www.graphicartsassociation.org/,manual,10c4645c492502e34a49a1138f1d151f,8,"The Graphic Arts Association event is highly relevant for DuPont Tedlar as it is directly related to their product offering. Attendees and participants are likely to be involved in industries such as signage, architectural graphics, and vehicle wraps, which are the key applications of DuPont Tedlar's protective films. However, it's not a perfect 10 because the event might not be exclusively focused on B2B interactions.",Medium
Society for Experiential Graphic Design (SEGD),https://segd.org/expert-directory/,manual,a075c582765b072998dd18eba7ec2a65,8,"The Society for Experiential Graphic Design (SEGD) event is highly relevant for DuPont Tedlar as it caters to professionals involved in signage and architectural graphics. This event could provide a platform to showcase their protective films to potential B2B customers and industry partners. However, it's not a perfect 10 because it doesn't specifically target vehicle wraps, which is another key area for DuPont Tedlar.",Medium
Association for PRINT Technologies,https://www.printtechnologies.org/,manual,b48f4c10abbd7f1c155cd7ed0f20730f,8,"The Association for PRINT Technologies event is highly relevant for DuPont Tedlar as it targets professionals in the print industry, which aligns with the company's product offerings. However, it may not be a perfect 10 because the event is not specifically focused on signage, architectural graphics, or vehicle wraps.",Medium
Flexographic Technical Association (FTA),https://www.flexography.org/forum-infoflex/,manual,8f8d80abd45eca2eb8b2d3ebf69e7ea9,8,"The Flexographic Technical Association (FTA) event is highly relevant for DuPont Tedlar as it is a gathering of professionals in the flexography industry, which includes printing and graphics. This could be a great opportunity to connect with potential B2B customers and industry partners who might need protective films for their products.",Medium
American Advertising Federation (AAF),https://www.aaf.org/,manual,8e48c8f3ad103bea4094e8b73915a9c6,7,"The American Advertising Federation (AAF) event is a significant gathering of advertising professionals, which may include those who work in signage, architectural graphics, and vehicle wraps. Therefore, it could be a good opportunity to identify potential B2B customers or industry partners. However, not all attendees may be directly involved in these specific areas, hence the score is not at the maximum.",Medium
United States Sign Council (USSC),https://www.ussc.org/,manual,27e648b67de7387884d03ff3d0fc3da3,9,The United States Sign Council (USSC) is highly relevant for DuPont Tedlar as it is an event that directly targets professionals in the signage industry. This event can provide opportunities to identify potential B2B customers and industry partners who are interested in high-quality protective films for their signage needs.,High
National Association of Sign Supply Distributors (NASSD),https://www.nassd.org/,manual,64831837e78b77559e9ba91ba4c4759a,9,"The National Association of Sign Supply Distributors (NASSD) event is highly relevant for DuPont Tedlar as it is a gathering of industry professionals who are likely to use or distribute protective films for signage. This event would provide an excellent opportunity to network, identify potential B2B customers and industry partners.",High
ISA Sign Expo 2025,https://isasignexpo2025.mapyourshow.com/8_0/explore/exhibitor-gallery.cfm?featured=false&categories=1%7C20~~~~1%7C47~~~~1%7C52~~~~1%7C57,manual,0792265a8b2db4d818c9b43f2115dd45,9,"The ISA Sign Expo is highly relevant for DuPont Tedlar as it focuses on signage, architectural graphics, and vehicle wraps - all areas where their protective films can be used. The event will attract a large number of potential B2B customers and industry partners.",High
PRINTING United Expo 2025,https://pru25.mapyourshow.com/8_0/explore/exhibitor-gallery.cfm?featured=false,manual,299fe4044423999fb027effbab5a4455,9,"The PRINTING United Expo 2025 is highly relevant for DuPont Tedlar as it is an event focused on the printing industry, which directly relates to their business of manufacturing protective films used in signage, architectural graphics, and vehicle wraps. This event will likely attract potential B2B customers and industry partners who are interested in the latest printing technologies and materials.",High
Sign & Digital UK 2025,https://signuk.com/a-z-exhibitor-list/,manual,c22305561e79e79968bfac2c1706e104,9,"The event is highly relevant as it is specifically targeted towards signage and digital industries, which are direct applications of DuPont Tedlar's protective films. The exhibitor list can be a rich source of potential B2B customers and industry partners.",High
ISA Sign Expo 2025,https://isasignexpo2025.mapyourshow.com/,perplexity,09b241b5bd77af069c8dc9163e127836,9.5,"Major event for large-format signage and wraps, ideal for DuPont�s target market.",High
Impressions Expo (Long Beach),https://longbeach.impressionsexpo.com/?_gl=1%2A113goo3%2A_gcl_au%2AMzc1NDgzMTI2LjE3NDM2MjUzNzU.%2A_ga%2ANjA2NTA4NzI1LjE3NDM2MjUzNzU.%2A_ga_WGQJ5N99FH%2AMTc0MzYyNTM3NS4xLjAuMTc0MzYyNTM3Ni4wLjAuMA..%2A_ga_8FL9TV4XBY%2AMTc0MzYyNTM3NS4xLjAuMTc0MzYyNTM3Ni4wLjAuMA..,perplexity,e2e2232892e4bc2f864a161a3d68d221,7.5,"Features screen printing and sublimation equipment, relevant for wraps and graphics.",Medium
Impressions Expo (Atlantic City),https://www.impressionsexpo.com/,perplexity,898ba0112ba54f6b767218917997c979,7.5,"Features screen printing and sublimation equipment, relevant for wraps and graphics.",Medium
Impressions Expo (Fort Worth),https://www.impressionsexpo.com/,perplexity,bff71399c27b8e2ef607704af8f98835,7.5,"Features screen printing and sublimation equipment, relevant for wraps and graphics.",Medium
PRINTING United Expo,https://www.printingunited.com/,perplexity,1783671ce423bc836e48351a9d13bca6,9,Displays cutting-edge print media and finishing systems.,High
Print UV,https://www.printuv.com/,perplexity,a78d2f7497c8958f1270273100339e1f,8,Focused on UV printing technologies applicable to signage.,Medium
DTF Expo,https://dtfexpo.com/sponsors/,perplexity,6fd06808d266d902351b2f734677bd24,7,Showcases direct-to-film printing methods relevant to signage and graphics.,Medium
WrapFest North America 2025,https://wrapfest.com/,perplexity,4b2513a055a177a5252d96e2a57722c7,9,"Dedicated event for vehicle wrap professionals, ideal for wraps and graphics.",High
SGIA Expo 2025,https://www.sgia.org/events/sgia-expo/,perplexity,7cf035bed5ac0f82e78e3c1a0bb7e15a,8.5,Highlights customizable vinyl solutions for various applications.,Medium
Print Amplify,https://www.printamplify.com/,perplexity,dbbb92d1bdd84392d7a83e1baee18bc2,7,Focuses on finishing and design relevant to signage and graphics.,Medium
